number of users, items, ratings:  7375 105114 5
[5,  1200] loss: 1.036, The best rmse/mae: 1.031682 / 0.795793
[5,  1300] loss: 1.039, The best rmse/mae: 1.031682 / 0.795793
[5,  1400] loss: 1.038, The best rmse/mae: 1.031682 / 0.795793
[5,  1500] loss: 1.033, The best rmse/mae: 1.031682 / 0.795793
[5,  1600] loss: 1.018, The best rmse/mae: 1.031682 / 0.795793
[5,  1700] loss: 1.015, The best rmse/mae: 1.031682 / 0.795793
rmse: 1.0218, mae:0.7824
[6,     0] loss: 0.014, The best rmse/mae: 1.021810 / 0.782399
[6,   100] loss: 0.988, The best rmse/mae: 1.021810 / 0.782399
[6,   200] loss: 1.035, The best rmse/mae: 1.021810 / 0.782399
[6,   300] loss: 1.039, The best rmse/mae: 1.021810 / 0.782399
[6,   400] loss: 1.003, The best rmse/mae: 1.021810 / 0.782399
[6,   500] loss: 1.012, The best rmse/mae: 1.021810 / 0.782399
[6,   600] loss: 0.998, The best rmse/mae: 1.021810 / 0.782399
[6,   700] loss: 1.011, The best rmse/mae: 1.021810 / 0.782399
[6,   800] loss: 1.004, The best rmse/mae: 1.021810 / 0.782399
[6,   900] loss: 0.993, The best rmse/mae: 1.021810 / 0.782399
[6,  1000] loss: 1.010, The best rmse/mae: 1.021810 / 0.782399
[6,  1100] loss: 1.026, The best rmse/mae: 1.021810 / 0.782399
[6,  1200] loss: 1.026, The best rmse/mae: 1.021810 / 0.782399
[6,  1300] loss: 1.008, The best rmse/mae: 1.021810 / 0.782399
[6,  1400] loss: 1.023, The best rmse/mae: 1.021810 / 0.782399
[6,  1500] loss: 1.019, The best rmse/mae: 1.021810 / 0.782399
[6,  1600] loss: 1.020, The best rmse/mae: 1.021810 / 0.782399
[6,  1700] loss: 1.005, The best rmse/mae: 1.021810 / 0.782399
rmse: 1.0140, mae:0.7795
[7,     0] loss: 0.012, The best rmse/mae: 1.013993 / 0.779518
[7,   100] loss: 0.982, The best rmse/mae: 1.013993 / 0.779518
[7,   200] loss: 1.023, The best rmse/mae: 1.013993 / 0.779518
[7,   300] loss: 0.989, The best rmse/mae: 1.013993 / 0.779518
[7,   400] loss: 0.983, The best rmse/mae: 1.013993 / 0.779518
[7,   500] loss: 0.999, The best rmse/mae: 1.013993 / 0.779518
[7,   600] loss: 0.981, The best rmse/mae: 1.013993 / 0.779518
[7,   700] loss: 0.989, The best rmse/mae: 1.013993 / 0.779518
[7,   800] loss: 0.992, The best rmse/mae: 1.013993 / 0.779518
[7,   900] loss: 0.974, The best rmse/mae: 1.013993 / 0.779518
[7,  1000] loss: 1.004, The best rmse/mae: 1.013993 / 0.779518
[7,  1100] loss: 0.980, The best rmse/mae: 1.013993 / 0.779518
[7,  1200] loss: 0.966, The best rmse/mae: 1.013993 / 0.779518
[7,  1300] loss: 1.001, The best rmse/mae: 1.013993 / 0.779518
[7,  1400] loss: 0.986, The best rmse/mae: 1.013993 / 0.779518
[7,  1500] loss: 0.981, The best rmse/mae: 1.013993 / 0.779518
[7,  1600] loss: 0.981, The best rmse/mae: 1.013993 / 0.779518
[7,  1700] loss: 0.974, The best rmse/mae: 1.013993 / 0.779518
rmse: 1.0024, mae:0.7720
[8,     0] loss: 0.009, The best rmse/mae: 1.002375 / 0.772015
[8,   100] loss: 0.953, The best rmse/mae: 1.002375 / 0.772015
[8,   200] loss: 0.968, The best rmse/mae: 1.002375 / 0.772015
[8,   300] loss: 0.959, The best rmse/mae: 1.002375 / 0.772015
[8,   400] loss: 0.986, The best rmse/mae: 1.002375 / 0.772015
[8,   500] loss: 0.964, The best rmse/mae: 1.002375 / 0.772015
[8,   600] loss: 0.944, The best rmse/mae: 1.002375 / 0.772015
[8,   700] loss: 1.000, The best rmse/mae: 1.002375 / 0.772015
[8,   800] loss: 0.975, The best rmse/mae: 1.002375 / 0.772015
[8,   900] loss: 0.960, The best rmse/mae: 1.002375 / 0.772015
[8,  1000] loss: 0.954, The best rmse/mae: 1.002375 / 0.772015
[8,  1100] loss: 0.912, The best rmse/mae: 1.002375 / 0.772015
[8,  1200] loss: 0.980, The best rmse/mae: 1.002375 / 0.772015
[8,  1300] loss: 0.971, The best rmse/mae: 1.002375 / 0.772015
[8,  1400] loss: 0.953, The best rmse/mae: 1.002375 / 0.772015
[8,  1500] loss: 0.949, The best rmse/mae: 1.002375 / 0.772015
[8,  1600] loss: 0.975, The best rmse/mae: 1.002375 / 0.772015
[8,  1700] loss: 0.953, The best rmse/mae: 1.002375 / 0.772015
rmse: 0.9966, mae:0.7836
[9,     0] loss: 0.012, The best rmse/mae: 0.996622 / 0.783568
[9,   100] loss: 0.943, The best rmse/mae: 0.996622 / 0.783568
[9,   200] loss: 0.924, The best rmse/mae: 0.996622 / 0.783568
[9,   300] loss: 0.943, The best rmse/mae: 0.996622 / 0.783568
[9,   400] loss: 0.961, The best rmse/mae: 0.996622 / 0.783568
[9,   500] loss: 0.979, The best rmse/mae: 0.996622 / 0.783568
[9,   600] loss: 0.929, The best rmse/mae: 0.996622 / 0.783568
[9,   700] loss: 0.922, The best rmse/mae: 0.996622 / 0.783568
[9,   800] loss: 0.950, The best rmse/mae: 0.996622 / 0.783568
[9,   900] loss: 0.928, The best rmse/mae: 0.996622 / 0.783568
[9,  1000] loss: 0.942, The best rmse/mae: 0.996622 / 0.783568
[9,  1100] loss: 0.925, The best rmse/mae: 0.996622 / 0.783568
[9,  1200] loss: 0.935, The best rmse/mae: 0.996622 / 0.783568
[9,  1300] loss: 0.928, The best rmse/mae: 0.996622 / 0.783568
[9,  1400] loss: 0.924, The best rmse/mae: 0.996622 / 0.783568
[9,  1500] loss: 0.958, The best rmse/mae: 0.996622 / 0.783568
[9,  1600] loss: 0.941, The best rmse/mae: 0.996622 / 0.783568
[9,  1700] loss: 0.943, The best rmse/mae: 0.996622 / 0.783568
rmse: 0.9879, mae:0.7760
[10,     0] loss: 0.012, The best rmse/mae: 0.987945 / 0.776032
[10,   100] loss: 0.908, The best rmse/mae: 0.987945 / 0.776032
[10,   200] loss: 0.901, The best rmse/mae: 0.987945 / 0.776032
[10,   300] loss: 0.946, The best rmse/mae: 0.987945 / 0.776032
[10,   400] loss: 0.912, The best rmse/mae: 0.987945 / 0.776032
[10,   500] loss: 0.915, The best rmse/mae: 0.987945 / 0.776032
[10,   600] loss: 0.910, The best rmse/mae: 0.987945 / 0.776032
[10,   700] loss: 0.937, The best rmse/mae: 0.987945 / 0.776032
[10,   800] loss: 0.916, The best rmse/mae: 0.987945 / 0.776032
[10,   900] loss: 0.918, The best rmse/mae: 0.987945 / 0.776032
[10,  1000] loss: 0.911, The best rmse/mae: 0.987945 / 0.776032
[10,  1100] loss: 0.899, The best rmse/mae: 0.987945 / 0.776032
[10,  1200] loss: 0.922, The best rmse/mae: 0.987945 / 0.776032
[10,  1300] loss: 0.909, The best rmse/mae: 0.987945 / 0.776032
[10,  1400] loss: 0.919, The best rmse/mae: 0.987945 / 0.776032
[10,  1500] loss: 0.939, The best rmse/mae: 0.987945 / 0.776032
[10,  1600] loss: 0.939, The best rmse/mae: 0.987945 / 0.776032
[10,  1700] loss: 0.912, The best rmse/mae: 0.987945 / 0.776032
rmse: 0.9795, mae:0.7684
[11,     0] loss: 0.009, The best rmse/mae: 0.979503 / 0.768389
[11,   100] loss: 0.934, The best rmse/mae: 0.979503 / 0.768389
